source,config,base,metric,estimator,kind,tau,m,sigma,R,R_rule,psd,clip_pct,plane_norm,rdoq,n_images,qps,bd_psnr_y,bd_psnr_yuv,bd_ssim,bd_ms_ssim,bd_lpips,bd_dists,bd_psnr_rgb,bd_lpips_alex,bd_wd0,bd_wd2,bd_wd4
vvc_rdo_lpips_bh8_m239_20260924_132626,wlpips_bh8_m239_tau0.25_rdoq,wlpips_bh8_m239,lpips,gnblock,block,0.25,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",14.282986526210218,12.678076408384586,-5.1632228142094965,-4.5104389655327095,-15.182658426923929,-8.744149719145602,9.621512889460584,-14.892955608839907,-9.55946062982919,-12.085620465977769,-16.57515967113565
vvc_rdo_lpips_bh8_m239_20260924_132626,wlpips_bh8_m239_tau0.125_rdoq,wlpips_bh8_m239,lpips,gnblock,block,0.125,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",22.361218773455786,20.15480461041083,-4.201982645030323,-3.4654036204508962,-15.979151340800236,-8.641310181192003,16.052914753519175,-15.196133742548449,-9.04017460649205,-12.151908151871636,-17.335986556328645
vvc_rdo_lpips_bh8_m223_20260924_135836,wlpips_bh8_m223_tau0.5_rdoq,wlpips_bh8_m223,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",9.387213551248033,8.156588469781203,-6.079841926437514,-5.224392477866234,-15.817038841242569,-12.033867529793639,5.832998947514888,-13.983011688515857,-9.981892874412111,-12.153916269169253,-16.046656676017665
vvc_rdo_lpips_bh8_m223_20260924_135836,wlpips_bh8_m223_tau1_rdoq,wlpips_bh8_m223,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.8667558753747295,4.061701229889562,-5.364080824796826,-4.782413005835051,-13.36902469376471,-10.690991340328628,2.520756223308317,-12.067349924614227,-8.68715835748856,-10.307554896375855,-13.477296185963633
vvc_rdo_lpips_bh8_m223_20260924_135836,wlpips_bh8_m223_tau2_rdoq,wlpips_bh8_m223,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",2.25394896488586,1.7223581574020856,-4.2692895918695655,-3.8477303667979235,-10.33855743796463,-9.126048665247064,0.6951170630958662,-9.476170201164686,-6.920132073238469,-8.07371163573674,-10.503504523423203
vvc_rdo_lpips_bh8_m223_20260924_135836,wlpips_bh8_m223_tau4_rdoq,wlpips_bh8_m223,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.9093588495765951,0.5924308351032451,-3.0875574986869214,-2.8208050632997215,-7.3732632916857215,-6.579803179156779,-0.010557713395222915,-6.628831733683126,-4.865743146146901,-5.616575568122863,-7.260470855092848
vvc_rdo_lpips_bh8_m191_20260924_151640,wlpips_bh8_m191_tau0.5_rdoq,wlpips_bh8_m191,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",8.644448554534932,7.534741364748707,-6.239665756308821,-5.60508898474285,-15.255027146182341,-10.391483357574439,5.470119274874077,-13.880127516051147,-8.957573255622444,-10.907566866152806,-14.5902137855121
vvc_rdo_lpips_bh8_m191_20260924_151640,wlpips_bh8_m191_tau1_rdoq,wlpips_bh8_m191,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.374161783229315,3.6564495084701427,-5.603891285200309,-5.112553820532704,-13.080970610990576,-10.264400102841373,2.295799145348622,-12.083129816850123,-7.932927960536169,-9.386917324468824,-12.345497431617112
vvc_rdo_lpips_bh8_m191_20260924_151640,wlpips_bh8_m191_tau2_rdoq,wlpips_bh8_m191,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",1.9880815092746402,1.553315614970589,-4.564435805291967,-4.189372451201811,-10.040803730816465,-7.1305114470755235,0.7345944187896141,-9.265233631986192,-6.271180415728897,-7.316794159547459,-9.547180313998025
vvc_rdo_lpips_bh8_m191_20260924_151640,wlpips_bh8_m191_tau4_rdoq,wlpips_bh8_m191,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.7761045874771536,0.5059805814475191,-3.3143569550279737,-3.080330760853481,-7.242978244654613,-5.559031796077332,-0.013470089136712512,-6.657891982473004,-4.597490566136418,-5.311056359631989,-6.926529834455226
vvc_rdo_lpips_bh8_m127_20260924_170636,wlpips_bh8_m127_tau0.5_rdoq,wlpips_bh8_m127,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",6.596823817649946,5.712001744528851,-2.890975567189031,-2.5991951129686353,-11.90848496588322,-8.608485424024664,3.958462819400127,-11.549066358016402,-7.270493198198618,-8.88845004056087,-12.305182903757776
vvc_rdo_lpips_bh8_m127_20260924_170636,wlpips_bh8_m127_tau1_rdoq,wlpips_bh8_m127,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",3.6549032801806796,3.0105647759659155,-3.204247104774705,-3.016376762170108,-10.786878144280566,-8.350346246309897,1.717963282631815,-10.671289008935409,-6.929422134922501,-8.240334837247238,-11.116930574008984
vvc_rdo_lpips_bh8_m127_20260924_170636,wlpips_bh8_m127_tau2_rdoq,wlpips_bh8_m127,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",1.768172234144231,1.3159475051495544,-3.19476319653896,-3.016840146453763,-9.070616292617707,-6.613377355504311,0.4444278978930479,-8.988231519126595,-5.832126768651726,-6.815485578652029,-9.06051258894686
vvc_rdo_lpips_bh8_m127_20260924_170636,wlpips_bh8_m127_tau4_rdoq,wlpips_bh8_m127,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.7413612095812853,0.4518786961134156,-2.4887623522301587,-2.3081677380088084,-6.8361232086721655,-6.274131978231115,-0.10187540042484455,-6.485754252676625,-4.354110250300586,-5.03453618194555,-6.617363051258775
vvc_rdo_lpips_bh8_m127_20260924_184934,wlpips_bh8_m127_tau0.25_rdoq,wlpips_bh8_m127,lpips,gnblock,block,0.25,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",11.049599433380337,9.805560289258079,-2.535982043868895,-1.9504337467318476,-12.26608354551921,-7.730536837982555,7.3777624782077895,-11.910000940624931,-7.275381909896294,-9.274094804641434,-13.282816416092606
vvc_rdo_lpips_bh8_m127_20260924_184934,wlpips_bh8_m127_tau0.125_rdoq,wlpips_bh8_m127,lpips,gnblock,block,0.125,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",17.823155600426148,16.09227064685194,-1.87051114017136,-1.0685746706037003,-11.723657822153035,-5.652397804898009,12.796420490785701,-10.800483421617438,-6.547942013879084,-8.985083783187546,-13.397077068911083
vvc_rdo_dists_dgnb8j3_m255_20260924_192530,wdists_dgnb8j3_m255_tau0.5_rdoq,wdists_dgnb8j3_m255,dists,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",18.59908367178963,16.87556067504367,12.803322441733252,12.329445884939785,-0.6895154688255439,-18.83543535093566,13.79932871306948,3.584637645792631,-0.663345167649741,-2.4209821872997925,-3.26601600005113
