source,config,base,metric,tau,m,sigma,qps,image,quality,bd_rate
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim01,wd2,-10.358868697439616
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim02,wd2,-11.198091626634653
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim03,wd2,-11.52740082823389
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim04,wd2,-7.5541710761218965
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim05,wd2,-6.1493872719678215
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim06,wd2,-10.749902535802658
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,wd2,-8.833228479598542
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,wd2,-9.653348977622024
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,wd2,-7.595361554211433
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,wd2,-8.254468604781362
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,wd2,-11.190261746578777
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,wd2,-8.114557077372986
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim01,wd4,-11.72253662943248
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim02,wd4,-12.205672904304931
