set,metric,estimator,m,sigma,image,plane,n_tiles,neg_diag_frac,neg_eig_frac,neg_energy_frac,tiles_with_neg_frac,diag_dom_mean
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim20,1,1536,0.3707377115885417,0.44696044921875,0.41402391091735774,1.0,0.18784443761451738
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim20,2,1536,0.3599039713541667,0.4460652669270833,0.402818943239249,1.0,0.19008272619007513
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim21,0,6144,0.42428843180338544,0.46899159749348956,0.4296025220280754,1.0,0.17862691084238366
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim21,1,1536,0.4036458333333333,0.4779866536458333,0.396802522562125,1.0,0.1807560081588814
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim21,2,1536,0.406005859375,0.4784138997395833,0.40568669655294654,1.0,0.18140816361027123
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim22,0,6144,0.4207204182942708,0.46925099690755206,0.42419724111564266,1.0,0.17899064653317023
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim22,1,1536,0.4083150227864583,0.4763081868489583,0.4227307781437305,1.0,0.1784063861473796
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim22,2,1536,0.3914998372395833,0.4800618489583333,0.40163105712463026,1.0,0.1816351614795081
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim23,0,6144,0.37195587158203125,0.4741058349609375,0.40599045243556525,1.0,0.18523093787962197
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim23,1,1536,0.39276123046875,0.4752400716145833,0.4262323045984459,1.0,0.18090879133575455
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim23,2,1536,0.3873291015625,0.480682373046875,0.4178053838300575,1.0,0.18295347136673437
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim24,0,6144,0.413177490234375,0.4608510335286458,0.42290707475001166,1.0,0.1803892000431381
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim24,1,1536,0.3898824055989583,0.4716796875,0.4197533165366976,1.0,0.18248438777204043
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim24,2,1536,0.376312255859375,0.4763081868489583,0.3988098217181633,1.0,0.18364915819042282
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,MEAN(24),0,147456,0.3989399804009332,0.4594248665703668,0.4213005928655071,1.0,0.18202663818292164
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,MEAN(24),1,36864,0.3818694220648871,0.4649759928385417,0.4193239194119196,1.0,0.18303044535862323
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,MEAN(24),2,36864,0.373716566297743,0.4736196729871962,0.4088718840001517,1.0,0.18496532257887952
